iso_o,iso_d,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces
ABW,SOM,0,0,0,0,0,0,0,0,12721.2705,12721.2705,12607.733568041991,12606.066088137994
ABW,SPM,0,0,0,0,0,0,0,0,4015.7551,4015.7551,4035.5385927978514,4035.5138235186823
ABW,STP,0,0,0,0,0,0,0,0,8580.347,8580.347,8558.069203051758,8558.037714420647
ABW,SUR,0,1,1,0,1,0,0,0,1793.713,1793.713,1873.9013731689452,1787.6630086809323
ABW,SVK,0,0,0,0,0,0,0,0,8778.741,8778.741,8902.049220141602,8900.62942985638
ABW,SVN,0,0,0,0,0,0,0,0,8601.009,8601.009,8617.865149072266,8617.649575274112
ABW,SWE,0,0,0,0,0,0,0,0,8715.387,8715.387,8587.527722436524,8585.17434941834
ABW,SWZ,0,0,0,0,0,0,0,0,11739.211,11739.211,11750.850467651368,11750.775320543105
ABW,SYC,0,0,1,0,0,0,0,0,13989.588,13989.588,13976.952017724609,13976.947683313578
ABW,SYR,0,0,0,0,0,0,0,0,10720.528,10720.528,10724.007842700195,10723.177612923246
ABW,TCA,0,0,1,0,0,0,0,0,998.4774,998.4774,1011.2268947692871,1011.1681747131914
ABW,TCD,0,0,0,0,0,0,0,0,9201.158,9201.158,9341.91263564453,9338.211521805362
ABW,TGO,0,0,0,0,0,0,0,0,7858.3,7858.3,7805.199687817382,7804.799712230503
ABW,THA,0,0,0,0,0,0,0,0,16930.207,16930.207,16932.430681933594,16930.49860444953
ABW,TJK,0,0,0,0,0,0,0,0,12917.734,12917.734,12918.994033032226,12918.606849753998
ABW,TKL,0,0,1,0,0,0,0,0,11515.176,11515.176,11479.484219628906,11479.269986043548
ABW,TKM,0,0,0,0,0,0,0,0,12265.522,12265.522,12265.08232355957,12260.792059455756
ABW,TMP,0,0,0,0,0,0,0,0,18262.52,18262.52,18275.070929199217,18274.889870864346
ABW,TON,0,0,0,0,0,0,0,0,12067.622,12067.622,12052.02962680664,12051.760871256158
ABW,TTO,0,0,1,0,0,0,0,0,959.7569,959.7569,960.6143410125732,960.3905746504504
ABW,TUN,0,0,0,0,0,0,0,0,8328.585,8328.585,8334.207950878907,8333.935555536073
ABW,TUR,0,0,0,0,0,0,0,0,9845.79,10197.241,10126.417311376952,10114.11889081
ABW,TUV,0,0,0,0,0,0,0,0,12456.918,12456.918,12533.820886425781,12533.019388424827
ABW,TWN,0,0,0,0,0,0,0,0,15659.134,15659.134,15771.774133349609,15770.897108893423
ABW,TZA,0,0,0,0,0,0,0,0,12282.36,11881.487,11986.515872460937,11976.286802034978
ABW,UGA,0,0,1,0,0,0,0,0,11386.025,11386.025,11347.056824243164,11346.17087990177
ABW,UKR,0,0,0,0,0,0,0,0,9678.449,9678.449,9909.713043774414,9901.715373677856
ABW,URY,0,1,0,0,0,0,0,0,5483.9346,5483.9346,5392.8564339965815,5389.012516828494
ABW,USA,0,0,1,0,0,0,0,0,3161.668,3007.269,3859.88542298584,3648.8662379732637
ABW,UZB,0,0,0,0,0,0,0,0,12732.287,12732.287,12713.785495092772,12709.943460619786
ABW,VCT,0,0,1,0,0,0,0,0,964.70435,964.70435,953.5869628479004,953.5273439116207
ABW,VEN,0,1,0,0,0,0,0,0,408.80646,408.80646,437.7823584999084,380.6062036625996
ABW,VGB,0,0,1,0,0,0,0,0,881.2882,881.2882,879.4905289138794,879.4416105808472
ABW,VNM,0,0,0,0,0,0,0,0,16271.962,16271.962,17039.93475078125,17024.940951846544
ABW,VUT,0,0,1,0,0,0,0,0,13756.357,13756.357,13796.531257373046,13796.347701501163
ABW,WLF,0,0,0,0,0,0,0,0,12049.833,12049.833,12055.933436572266,12055.931250416243
ABW,WSM,0,0,1,0,0,0,0,0,13348.891,13348.891,11605.079947924803,11605.032905292152
